Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,,409.544042406084,421.611323653684,434.08160098333,446.941491895214,460.186824921257,473.763586079742,487.907574709995,502.483490819697,516.971137742952,530.528493508489,539.884443420143,550.368894522547,566.353952523623,582.617715295383,598.0974955827,613.469447645387,628.925743258815,644.46228009526,660.175708688638,676.165260812783,693.732081124683,713.025328416686,732.389605899977,751.440162863947,770.176115848506,788.473319505262,806.324736882538,823.661427364216,840.699078128601,857.599423830376,874.142344626258,890.775078743182,907.523699777214,924.507789813321,941.848121687025,959.223930245064,977.168848428978,995.792671122378,1014.88872243989,1033.6045478989,1050.97802873166,1067.32471383575,1082.97112237843,1097.8171314435,1111.74453407083,1124.7289928555,1136.89235614965,1148.30040715987,1159.05134823692,1169.25544288238,1179.92683413997,1191.28909118845,1202.52086502266,1213.52791733886,1224.42328493508,1235.3993393255
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,,71.798951459821,72.4301364910061,73.0194793455663,73.6178251830426,74.1586188194884,74.6457290065986,75.1172918738136,75.6540088583567,76.2376570550484,76.7384434601826,77.1616650094911,77.5214679562506,77.9261231130796,78.4483865136039,78.8280032540902,79.1701979571545,79.5822380909337,79.6712645756124,79.7789026484679,80.1006508180421,80.3680466419597,80.6061375757028,80.8075386423212,80.9968272620446,80.9956340956341,80.9741571002441,81.0933652716261,81.1845430714996,80.2401880141011,78.8058302449607,78.0291693030823,77.1957335261683,76.5824188737232,76.3227967097532,75.9836120401338,75.5927506101419,75.1339419687246,74.6342402603272,74.216975503932,73.8513242339329,72.3957516044473,72.0327297794118,71.4841132665257,70.953107760206,70.4986377025037,69.9716652858326,69.4718534204953,68.98592210662,68.5744565217391,68.1245302137067,67.6890935887988,67.2981577008106,65.9543570375829,65.1581798084009,64.3351602800295,63.5053334561533
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,,249.776811594203,259.926086956522,270.291304347826,280.892753623188,291.110144927536,300.786956521739,310.41884057971,317.879710144928,322.41884057971,325.810144927536,334.395652173913,350.888405797101,370.028985507246,389.910144927536,410.497101449275,431.685507246377,453.366666666667,475.428985507246,497.763768115942,520.257971014493,541.339130434783,560.844927536232,580.734782608696,601.672463768116,623.707246376812,646.791304347826,670.802898550725,695.549275362319,720.763768115942,746.082608695652,729.060869565217,727.405633802817,746.795774647887,766.712676056338,787.153521126761,808.157746478873,829.739436619718,851.89014084507,874.632394366197,898.002816901408,931.430985915493,1000.77887323944,1061.82916666667,1128.41232876712,1201.11081081081,1297.87027027027,1385.72666666667,1451.96842105263,1550.54605263158,1612.26115485564,1558.0443285528,1570.08311688312,1627.52077922078,1705.00907911803,1761.33933161954,1827.63286264442
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,,12.2074925074925,12.8364635364635,13.4952047952048,14.1386613386613,14.7804195804196,15.4719280719281,16.2104895104895,16.9919080919081,17.7803196803197,18.4797202797203,19.0666333666334,19.5859140859141,20.059040959041,20.5136863136863,20.9676323676324,21.4286713286713,21.8938061938062,22.3537462537463,22.8001998001998,23.2293706293706,23.6377622377622,24.0373626373626,24.4453546453546,24.8614385614386,25.2901098901099,25.7278721278721,26.1673326673327,26.6181818181818,27.0907092907093,27.5669330669331,28.0450549450549,28.5641358641359,29.1047952047952,29.6212787212787,30.115984015984,30.5962037962038,31.0593406593407,31.5052947052947,31.9294705294705,32.3511488511488,32.7508491508491,33.1282717282717,33.5282717282717,33.9442557442557,34.355044955045,34.8026973026973,35.2981018981019,35.7762237762238,36.2447552447552,36.7110889110889,37.1357642357642,37.5093906093906,37.8574425574426,38.1916083916084,38.4961038961039,38.7667332667333
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.70734375,76.2594140625,72.761953125,72.569609375,75.6883984375,78.48099609375,79.870234375,80.67001953125,81.24552734375,81.6296484375,81.7969140625,81.61177734375,80.87865234375,80.00962890625,79.36078125,78.3871875,77.10046875,75.7772265625,74.4428125,73.0819921875,71.68189453125,70.52458984375,69.62556640625,68.72150390625,67.83208984375
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3452948829141,50.4655186010291,50.4093839647473,50.2485902162983,50.083158330622,49.8751965689778,49.6574109225012,49.4329775433234,49.1974779144976,48.9467226045631,48.6397310049352,48.3012483606638,47.9754751867465,47.6446879945571,47.3372826558372,47.1212709646576,46.9585563473992,46.8441433626748,46.7409685463919,46.6297521068454,46.5593029044007,46.5393725235082,46.5506003261518,46.611337189252,46.6499448243246
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,,4.10486628671635,4.21052170100833,4.32722490135905,4.4543182814555,4.58899605436212,4.73064445418676,4.87821131082858,5.02906619903551,5.17492327926348,5.29311705392372,5.38382288469969,5.4658483121438,5.54340201665936,5.61968434896975,5.71622095572117,5.8351161771153,5.9573432704954,6.08123629986848,6.21122314774222,6.35957913195967,6.52284085927225,6.68776852257782,6.8521262604121,7.01639631740465,7.18088557650153,7.34563787812363,7.51153003068829,7.67996492766331,7.8521262604121,8.02612889083735,8.19991231915826,8.37277509864095,8.5445857080228,8.72849627356423,8.94984655852696,9.22007891275756,9.5329241560719,9.87167908811925,10.2174046470846,10.5567295046032,10.889039894783,11.2235423060061,11.5642262165717,11.9109162647961,12.2635247698378,12.6206926786497,12.9811486190267,13.3433143358176,13.7051293292416,14.0396755808856,14.3488820692679,14.6608505041648,14.977071459886,15.2969311705392,15.6217886891714,15.9888206926786
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,,798.574074074074,819.240740740741,839.62962962963,859.444444444444,878.907407407407,898.777777777778,916.925925925926,933.407407407407,950.111111111111,965.259259259259,974.203703703704,977.833333333333,980.481481481482,982.518518518518,983.87037037037,985.37037037037,987.444444444444,989.462962962963,991.055555555556,993.944444444444,999.944444444444,1007.16666666667,1014.38888888889,1021.64814814815,1028.64814814815,1034.98148148148,1041.94444444444,1049.98148148148,1057.94444444444,1065.90740740741,1073.77777777778,1081.61111111111,1089.18518518519,1096.18518518519,1102.33333333333,1107.64814814815,1114.38888888889,1122.94444444444,1131.92592592593,1139.81481481481,1145.68518518519,1150.77777777778,1155.2962962963,1158.42592592593,1161.31481481481,1163.59259259259,1166.85185185185,1172.22222222222,1177.12962962963,1180.09259259259,1180.24074074074,1178.62962962963,1177.2962962963,1176.46296296296,1175.25925925926,1174.98148148148
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,,3.48816671282193,3.56087233453337,3.63603157020216,3.71364903535493,3.79377457767931,3.87662697313763,3.96249607680236,4.05145758331026,4.14311086494969,4.23706267885166,4.33337210375704,4.43180836333426,4.53263177328533,4.63627342379766,4.74248961506508,4.85229945536786,4.96553678574725,5.08088525800794,5.19786670359088,5.31607126373119,5.43534477983938,5.55532908704883,5.67623003784732,5.79882581002492,5.92281454813994,6.04862826548509,6.17757038678113,6.30989384288747,6.44490538170405,6.58187205760177,6.7204735530324,6.8589827379304,6.99639527370073,7.1331320963722,7.26915535862642,7.40490722791471,7.53983199483061,7.67413828117788,7.80929197821471,7.94454537062679,8.07969722145297,8.21596510661866,8.35474937690391,8.49652635465707,8.64096187575002,8.78952183144097,8.94116126650051,9.09337948859965,9.24607680236315,9.39937690390474,9.55315148158405,9.7071974522293,9.86117234376442,10.0146662974245,10.1677328533186,10.3203360103388
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,,8.92608247768044,9.19646272974609,9.47151339891411,9.74960876462945,10.0282578420558,10.3060440480777,10.5820342803542,10.8566307814897,11.1323544472813,11.4111095291536,11.6939023514801,11.9819477778549,12.275575187781,12.5733327032091,12.8760184682238,13.1863487570201,13.5048338505936,13.8309410945497,14.1635365045333,14.5017265803157,14.8433872847308,15.1855741827727,15.5285837518874,15.8718164567715,16.2136067354699,16.551095100106,16.8823379364308,17.2079382494191,17.5281787574747,17.8440685367797,18.1528732469186,18.458063516524,18.7595059427097,19.0550775651042,19.3506058764271,19.6458241905496,19.9400415642715,20.2389114085191,20.5358540297243,20.8202162203552,21.0933536648106,21.3568430296693,21.610392742883,21.8559563491399,22.0967943824822,22.3318951345634,22.5591243984906,22.7762758221327,22.9811837322658,23.175243415401,23.3646162902273,23.555014752086,23.7467066835444,23.93895376244,24.1292359304821,24.3137963709629
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,,542.204651162791,547.032558139535,552.458139534884,558.041860465116,563.760465116279,569.758139534884,574.630232558139,578.0,580.102325581395,579.96976744186,579.460465116279,580.6,582.144186046512,583.202325581395,584.127906976744,584.748837209302,585.176744186047,585.002325581395,584.346511627907,584.939534883721,586.674418604651,588.593023255814,590.679069767442,592.837209302326,594.93023255814,596.786046511628,598.323255813953,599.448837209302,600.253488372093,601.353488372093,603.193023255814,605.272093023256,607.039534883721,608.418604651163,609.393023255814,609.962790697674,610.213953488372,610.316279069767,610.504651162791,609.448837209302,610.290697674419,614.297674418605,618.083720930233,621.623255813954,624.897674418605,627.911627906977,630.902325581395,634.218604651163,637.495348837209,640.1,642.183720930233,644.041860465116,645.732558139535,647.320930232558,648.813953488372,650.227906976744
